stid,hisei,hisced,famstruc,sex,hlang,wealth,m2m_p,m2m_s,wkp2019,hsl2019,hel2019,fts2019,sa3,brthplace_aust_2011_ce_p,brthplace_elsewhere_2011_ce_p,lsh_eng_only_2011_ce_p,lsh_oth_lan_2011_ce_p,med_tot_hh_inc_wee_c2011,average_hh_size_c2011,lfs_unem_lfw_c11_m,lfs_tot_lforc_c11_m,n_lforc_c11_m
1325,67,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,1 Female,1 Language of test,0,"1 No, never","2 Yes, once",1596.8,2 Year 11,Cert III/IV/Dip,3 Not studying,11402,35558,6743,40543,1993,1093,2.5,432,10602,5493
1326,69,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,1.34,"2 Yes, once","1 No, never",281.7,1 Year 12,BA,3 Not studying,30905,22284,7434,27806,2072,1393,3,555,8263,2588
1327,54,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,1 Female,1 Language of test,.7,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,40304,119526,35139,145916,9707,1083,2.5,2650,42854,17675
1328,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.68,"1 No, never","1 No, never",5.31,1 Year 12,Post-grad,3 Not studying,20607,47101,21737,51886,17474,1682,2.2,1164,22911,6342
1329,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.98,"1 No, never","1 No, never",1192.47,1 Year 12,No qual,1 Full-time,11802,69563,49644,79916,38759,1578,2.4,1953,33897,15155
1330,43,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",3 Mixed,2 Male,1 Language of test,.22,"1 No, never","1 No, never",,1 Year 12,No qual,3 Not studying,10805,44280,4213,48051,1096,773,2.4,1004,10614,8473
1331,88,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.34,"1 No, never","1 No, never",1620.82,1 Year 12,BA,3 Not studying,10201,128118,25829,146679,8659,1090,2.5,2489,39769,19644
1332,50,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.01,"2 Yes, once","1 No, never",1034.46,1 Year 12,BA,3 Not studying,31802,139883,23192,152671,10474,1381,2.6,2347,48225,14957
1333,34,5 ISCED 5B - TAFE Diploma,2 Nuclear family,2 Male,1 Language of test,.99,"2 Yes, once","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,40301,23832,7486,28478,2997,1163,2.1,444,8841,4057
1334,67,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.78,"1 No, never","1 No, never",,1 Year 12,Post-grad,3 Not studying,60401,41380,4056,45078,988,836,2.4,867,11191,6338
1335,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.99,"1 No, never","1 No, never",736.13,1 Year 12,Post-grad,3 Not studying,20605,55252,28471,66115,17999,1672,2,1307,29221,7182
